,Year_Month,Province,Average NO2 Value,Average PM2.5 Value,Average PM10 Value,area_km2,vehicles_tot
0,1990-01-01,Drenthe,29,,,0.0,11755668
1,1990-01-01,Flevoland,33,,,0.0,12550586
2,1990-01-01,Friesland,28,,,0.0,14990976
3,1990-01-01,Gelderland,39,,,0.0,43979534
4,1990-01-01,Groningen,28,,,0.0,11936457
5,1990-01-01,Limburg,29,,,0.0,23560147
6,1990-01-01,Noord-Brabant,33,,,0.0,57201144
7,1990-01-01,Noord-Holland,41,,,0.0,47438165
8,1990-01-01,Overijssel,34,,,0.0,25136738
9,1990-01-01,Utrecht,40,,,0.0,27202822
10,1990-01-01,Zeeland,30,,,0.0,8732228
11,1990-01-01,Zuid-Holland,43,,,0.0,62190626
12,1990-02-01,Drenthe,23,,,0.0,11755668
13,1990-02-01,Flevoland,26,,,0.0,12550586
14,1990-02-01,Friesland,19,,,0.0,14990976
15,1990-02-01,Gelderland,38,,,0.0,43979534
16,1990-02-01,Groningen,22,,,0.0,11936457
17,1990-02-01,Limburg,24,,,0.0,23560147
18,1990-02-01,Noord-Brabant,30,,,0.0,57201144
19,1990-02-01,Noord-Holland,39,,,0.0,47438165
20,1990-02-01,Overijssel,28,,,0.0,25136738
21,1990-02-01,Utrecht,41,,,0.0,27202822
22,1990-02-01,Zeeland,21,,,0.0,8732228
23,1990-02-01,Zuid-Holland,40,,,0.0,62190626
24,1990-03-01,Drenthe,20,,,0.0,11755668
25,1990-03-01,Flevoland,24,,,0.0,12550586
26,1990-03-01,Friesland,16,,,0.0,14990976
27,1990-03-01,Gelderland,41,,,0.0,43979534
28,1990-03-01,Groningen,20,,,0.0,11936457
29,1990-03-01,Limburg,34,,,0.0,23560147
30,1990-03-01,Noord-Brabant,42,,,0.0,57201144
31,1990-03-01,Noord-Holland,40,,,0.0,47438165
32,1990-03-01,Overijssel,24,,,0.0,25136738
33,1990-03-01,Utrecht,46,,,0.0,27202822
34,1990-03-01,Zeeland,28,,,0.0,8732228
35,1990-03-01,Zuid-Holland,48,,,0.0,62190626
36,1990-04-01,Drenthe,14,,,0.0,11755668
37,1990-04-01,Flevoland,16,,,0.0,12550586
38,1990-04-01,Friesland,11,,,0.0,14990976
39,1990-04-01,Gelderland,38,,,0.0,43979534
40,1990-04-01,Groningen,22,,,0.0,11936457
41,1990-04-01,Limburg,29,,,0.0,23560147
42,1990-04-01,Noord-Brabant,42,,,0.0,57201144
43,1990-04-01,Noord-Holland,37,,,0.0,47438165
44,1990-04-01,Overijssel,15,,,0.0,25136738
45,1990-04-01,Utrecht,43,,,0.0,27202822
46,1990-04-01,Zeeland,25,,,0.0,8732228
47,1990-04-01,Zuid-Holland,45,,,0.0,62190626
48,1990-05-01,Drenthe,12,,,0.0,11755668
49,1990-05-01,Flevoland,13,,,0.0,12550586
50,1990-05-01,Friesland,9,,,0.0,14990976
51,1990-05-01,Gelderland,41,,,0.0,43979534
52,1990-05-01,Groningen,13,,,0.0,11936457
53,1990-05-01,Limburg,29,,,0.0,23560147
54,1990-05-01,Noord-Brabant,50,,,0.0,57201144
55,1990-05-01,Noord-Holland,36,,,0.0,47438165
56,1990-05-01,Overijssel,17,,,0.0,25136738
57,1990-05-01,Utrecht,50,,,0.0,27202822
58,1990-05-01,Zeeland,23,,,0.0,8732228
59,1990-05-01,Zuid-Holland,48,,,0.0,62190626
60,1990-06-01,Drenthe,12,,,0.0,11755668
61,1990-06-01,Flevoland,13,,,0.0,12550586
62,1990-06-01,Friesland,10,,,0.0,14990976
63,1990-06-01,Gelderland,37,,,0.0,43979534
64,1990-06-01,Groningen,12,,,0.0,11936457
65,1990-06-01,Limburg,24,,,0.0,23560147
66,1990-06-01,Noord-Brabant,40,,,0.0,57201144
67,1990-06-01,Noord-Holland,33,,,0.0,47438165
68,1990-06-01,Overijssel,19,,,0.0,25136738
69,1990-06-01,Utrecht,49,,,0.0,27202822
70,1990-06-01,Zeeland,14,,,0.0,8732228
71,1990-06-01,Zuid-Holland,41,,,0.0,62190626
72,1990-07-01,Drenthe,9,,,0.0,11755668
73,1990-07-01,Flevoland,10,,,0.0,12550586
74,1990-07-01,Friesland,7,,,0.0,14990976
75,1990-07-01,Gelderland,31,,,0.0,43979534
76,1990-07-01,Groningen,11,,,0.0,11936457
77,1990-07-01,Limburg,24,,,0.0,23560147
78,1990-07-01,Noord-Brabant,36,,,0.0,57201144
79,1990-07-01,Noord-Holland,28,,,0.0,47438165
80,1990-07-01,Overijssel,14,,,0.0,25136738
81,1990-07-01,Utrecht,41,,,0.0,27202822
82,1990-07-01,Zeeland,16,,,0.0,8732228
83,1990-07-01,Zuid-Holland,36,,,0.0,62190626
84,1990-08-01,Drenthe,15,,,0.0,11755668
85,1990-08-01,Flevoland,16,,,0.0,12550586
86,1990-08-01,Friesland,13,,,0.0,14990976
87,1990-08-01,Gelderland,41,,,0.0,43979534
88,1990-08-01,Groningen,17,,,0.0,11936457
89,1990-08-01,Limburg,36,,,0.0,23560147
90,1990-08-01,Noord-Brabant,50,,,0.0,57201144
91,1990-08-01,Noord-Holland,39,,,0.0,47438165
92,1990-08-01,Overijssel,23,,,0.0,25136738
93,1990-08-01,Utrecht,54,,,0.0,27202822
94,1990-08-01,Zeeland,24,,,0.0,8732228
95,1990-08-01,Zuid-Holland,49,,,0.0,62190626
96,1990-09-01,Drenthe,15,,,0.0,11755668
97,1990-09-01,Flevoland,20,,,0.0,12550586
98,1990-09-01,Friesland,10,,,0.0,14990976
99,1990-09-01,Gelderland,38,,,0.0,43979534
100,1990-09-01,Groningen,14,,,0.0,11936457
101,1990-09-01,Limburg,34,,,0.0,23560147
102,1990-09-01,Noord-Brabant,41,,,0.0,57201144
103,1990-09-01,Noord-Holland,34,,,0.0,47438165
104,1990-09-01,Overijssel,24,,,0.0,25136738
105,1990-09-01,Utrecht,47,,,0.0,27202822
106,1990-09-01,Zeeland,18,,,0.0,8732228
107,1990-09-01,Zuid-Holland,40,,,0.0,62190626
108,1990-10-01,Drenthe,28,,,0.0,11755668
109,1990-10-01,Flevoland,32,,,0.0,12550586
110,1990-10-01,Friesland,28,,,0.0,14990976
111,1990-10-01,Gelderland,42,,,0.0,43979534
112,1990-10-01,Groningen,30,,,0.0,11936457
113,1990-10-01,Limburg,35,,,0.0,23560147
114,1990-10-01,Noord-Brabant,42,,,0.0,57201144
115,1990-10-01,Noord-Holland,45,,,0.0,47438165
116,1990-10-01,Overijssel,36,,,0.0,25136738
117,1990-10-01,Utrecht,52,,,0.0,27202822
118,1990-10-01,Zeeland,35,,,0.0,8732228
119,1990-10-01,Zuid-Holland,49,,,0.0,62190626
120,1990-11-01,Drenthe,25,,,0.0,11755668
121,1990-11-01,Flevoland,31,,,0.0,12550586
122,1990-11-01,Friesland,22,,,0.0,14990976
123,1990-11-01,Gelderland,42,,,0.0,43979534
124,1990-11-01,Groningen,27,,,0.0,11936457
125,1990-11-01,Limburg,37,,,0.0,23560147
126,1990-11-01,Noord-Brabant,40,,,0.0,57201144
127,1990-11-01,Noord-Holland,45,,,0.0,47438165
128,1990-11-01,Overijssel,33,,,0.0,25136738
129,1990-11-01,Utrecht,54,,,0.0,27202822
130,1990-11-01,Zeeland,35,,,0.0,8732228
131,1990-11-01,Zuid-Holland,50,,,0.0,62190626
132,1990-12-01,Drenthe,24,,,0.0,11755668
133,1990-12-01,Flevoland,27,,,0.0,12550586
