Year,province,Average_predicted_NO2
2025,Drenthe,5
2025,Flevoland,8
2025,Friesland,4
2025,Gelderland,17
2025,Groningen,11
2025,Limburg,13
2025,Noord-Brabant,16
2025,Noord-Holland,20
2025,Overijssel,7
2025,Utrecht,17
2025,Zeeland,10
2025,Zuid-Holland,22
2026,Drenthe,5
2026,Flevoland,7
2026,Friesland,4
2026,Gelderland,16
2026,Groningen,11
2026,Limburg,12
2026,Noord-Brabant,16
2026,Noord-Holland,20
2026,Overijssel,6
2026,Utrecht,17
2026,Zeeland,9
2026,Zuid-Holland,22
2027,Drenthe,4
2027,Flevoland,6
2027,Friesland,3
2027,Gelderland,15
2027,Groningen,10
2027,Limburg,12
2027,Noord-Brabant,15
2027,Noord-Holland,19
2027,Overijssel,6
2027,Utrecht,16
2027,Zeeland,9
2027,Zuid-Holland,21
2028,Drenthe,4
2028,Flevoland,6
2028,Friesland,3
2028,Gelderland,15
2028,Groningen,10
2028,Limburg,11
2028,Noord-Brabant,15
2028,Noord-Holland,18
2028,Overijssel,5
2028,Utrecht,16
2028,Zeeland,8
2028,Zuid-Holland,21
2029,Drenthe,3
2029,Flevoland,5
2029,Friesland,2
2029,Gelderland,14
2029,Groningen,9
2029,Limburg,11
2029,Noord-Brabant,14
2029,Noord-Holland,18
2029,Overijssel,5
2029,Utrecht,15
2029,Zeeland,8
2029,Zuid-Holland,20
2030,Drenthe,3
2030,Flevoland,5
2030,Friesland,2
2030,Gelderland,14
2030,Groningen,8
2030,Limburg,10
2030,Noord-Brabant,14
2030,Noord-Holland,17
2030,Overijssel,4
2030,Utrecht,15
2030,Zeeland,7
2030,Zuid-Holland,20
2031,Drenthe,2
2031,Flevoland,4
2031,Friesland,1
2031,Gelderland,13
2031,Groningen,8
2031,Limburg,10
2031,Noord-Brabant,13
2031,Noord-Holland,17
2031,Overijssel,4
2031,Utrecht,14
2031,Zeeland,7
2031,Zuid-Holland,19
