Year,province,Average_predicted_PM10
2025,Drenthe,12
2025,Flevoland,14
2025,Friesland,13
2025,Gelderland,16
2025,Groningen,18
2025,Limburg,15
2025,Noord-Brabant,15
2025,Noord-Holland,16
2025,Overijssel,13
2025,Utrecht,14
2025,Zeeland,15
2025,Zuid-Holland,16
2026,Drenthe,11
2026,Flevoland,13
2026,Friesland,12
2026,Gelderland,16
2026,Groningen,17
2026,Limburg,14
2026,Noord-Brabant,15
2026,Noord-Holland,15
2026,Overijssel,13
2026,Utrecht,14
2026,Zeeland,15
2026,Zuid-Holland,16
2027,Drenthe,11
2027,Flevoland,13
2027,Friesland,12
2027,Gelderland,15
2027,Groningen,17
2027,Limburg,14
2027,Noord-Brabant,14
2027,Noord-Holland,14
2027,Overijssel,12
2027,Utrecht,13
2027,Zeeland,14
2027,Zuid-Holland,15
2028,Drenthe,10
2028,Flevoland,12
2028,Friesland,11
2028,Gelderland,14
2028,Groningen,16
2028,Limburg,13
2028,Noord-Brabant,14
2028,Noord-Holland,14
2028,Overijssel,12
2028,Utrecht,13
2028,Zeeland,14
2028,Zuid-Holland,15
2029,Drenthe,10
2029,Flevoland,12
2029,Friesland,11
2029,Gelderland,14
2029,Groningen,16
2029,Limburg,13
2029,Noord-Brabant,13
2029,Noord-Holland,13
2029,Overijssel,11
2029,Utrecht,12
2029,Zeeland,13
2029,Zuid-Holland,14
2030,Drenthe,9
2030,Flevoland,11
2030,Friesland,10
2030,Gelderland,13
2030,Groningen,15
2030,Limburg,12
2030,Noord-Brabant,13
2030,Noord-Holland,13
2030,Overijssel,11
2030,Utrecht,12
2030,Zeeland,13
2030,Zuid-Holland,14
2031,Drenthe,9
2031,Flevoland,10
2031,Friesland,9
2031,Gelderland,13
2031,Groningen,14
2031,Limburg,12
2031,Noord-Brabant,12
2031,Noord-Holland,12
2031,Overijssel,10
2031,Utrecht,11
2031,Zeeland,12
2031,Zuid-Holland,13
