Year,RegioS,Average NO2 Value,Average PM2.5 Value,Average PM10 Value
2025.0,Drenthe,5.0,,12.0
2025.0,Flevoland,8.0,7.0,14.0
2025.0,Friesland,4.0,5.0,13.0
2025.0,Gelderland,17.0,8.0,16.0
2025.0,Groningen,11.0,6.0,18.0
2025.0,Limburg,13.0,8.0,15.0
2025.0,Noord-Brabant,16.0,9.0,15.0
2025.0,Noord-Holland,20.0,8.0,16.0
2025.0,Overijssel,7.0,6.0,13.0
2025.0,Utrecht,17.0,8.0,14.0
2025.0,Zeeland,10.0,,15.0
2025.0,Zuid-Holland,22.0,8.0,16.0
2026.0,Drenthe,5.0,,11.0
2026.0,Flevoland,7.0,7.0,13.0
2026.0,Friesland,4.0,5.0,12.0
2026.0,Gelderland,16.0,7.0,16.0
2026.0,Groningen,11.0,6.0,17.0
2026.0,Limburg,12.0,7.0,14.0
2026.0,Noord-Brabant,16.0,8.0,15.0
2026.0,Noord-Holland,20.0,8.0,15.0
2026.0,Overijssel,6.0,6.0,13.0
2026.0,Utrecht,17.0,7.0,14.0
2026.0,Zeeland,9.0,,15.0
2026.0,Zuid-Holland,22.0,8.0,16.0
2027.0,Drenthe,4.0,,11.0
2027.0,Flevoland,6.0,6.0,13.0
2027.0,Friesland,3.0,4.0,12.0
2027.0,Gelderland,15.0,7.0,15.0
2027.0,Groningen,10.0,5.0,17.0
2027.0,Limburg,12.0,7.0,14.0
2027.0,Noord-Brabant,15.0,8.0,14.0
2027.0,Noord-Holland,19.0,7.0,14.0
2027.0,Overijssel,6.0,5.0,12.0
2027.0,Utrecht,16.0,7.0,13.0
2027.0,Zeeland,9.0,,14.0
2027.0,Zuid-Holland,21.0,7.0,15.0
2028.0,Drenthe,4.0,,10.0
2028.0,Flevoland,6.0,6.0,12.0
2028.0,Friesland,3.0,4.0,11.0
2028.0,Gelderland,15.0,6.0,14.0
2028.0,Groningen,10.0,5.0,16.0
2028.0,Limburg,11.0,6.0,13.0
2028.0,Noord-Brabant,15.0,7.0,14.0
2028.0,Noord-Holland,18.0,7.0,14.0
2028.0,Overijssel,5.0,5.0,12.0
2028.0,Utrecht,16.0,6.0,13.0
2028.0,Zeeland,8.0,,14.0
2028.0,Zuid-Holland,21.0,7.0,15.0
2029.0,Drenthe,3.0,,10.0
2029.0,Flevoland,5.0,5.0,12.0
2029.0,Friesland,2.0,3.0,11.0
2029.0,Gelderland,14.0,6.0,14.0
2029.0,Groningen,9.0,4.0,16.0
2029.0,Limburg,11.0,6.0,13.0
2029.0,Noord-Brabant,14.0,7.0,13.0
2029.0,Noord-Holland,18.0,6.0,13.0
2029.0,Overijssel,5.0,5.0,11.0
2029.0,Utrecht,15.0,6.0,12.0
2029.0,Zeeland,8.0,,13.0
2029.0,Zuid-Holland,20.0,6.0,14.0
2030.0,Drenthe,3.0,,9.0
2030.0,Flevoland,5.0,5.0,11.0
2030.0,Friesland,2.0,3.0,10.0
2030.0,Gelderland,14.0,6.0,13.0
2030.0,Groningen,8.0,4.0,15.0
2030.0,Limburg,10.0,5.0,12.0
2030.0,Noord-Brabant,14.0,6.0,13.0
2030.0,Noord-Holland,17.0,6.0,13.0
2030.0,Overijssel,4.0,4.0,11.0
2030.0,Utrecht,15.0,5.0,12.0
2030.0,Zeeland,7.0,,13.0
2030.0,Zuid-Holland,20.0,6.0,14.0
2031.0,Drenthe,2.0,,9.0
2031.0,Flevoland,4.0,4.0,10.0
2031.0,Friesland,1.0,2.0,9.0
2031.0,Gelderland,13.0,5.0,13.0
2031.0,Groningen,8.0,3.0,14.0
2031.0,Limburg,10.0,5.0,12.0
2031.0,Noord-Brabant,13.0,6.0,12.0
2031.0,Noord-Holland,17.0,5.0,12.0
2031.0,Overijssel,4.0,4.0,10.0
2031.0,Utrecht,14.0,5.0,11.0
2031.0,Zeeland,7.0,,12.0
2031.0,Zuid-Holland,19.0,5.0,13.0
