Unnamed: 0,Year_Month,Province,Average NO2 Value,Average PM2.5 Value,Average PM10 Value,area_km2_st,vehicles_tot,Year,RegioS
0.0,1990-01-01,Drenthe,1.3249171566376374,,,0.0,-1.0521706297180344,,
1.0,1990-01-01,Flevoland,1.7640909393523057,,,0.0,-0.9524340992609523,,
2.0,1990-01-01,Friesland,1.2151237109589703,,,0.0,-0.6815982209571082,,
3.0,1990-01-01,Gelderland,2.4228516134243083,,,0.0,0.9589488557843924,,
4.0,1990-01-01,Groningen,1.2151237109589703,,,0.0,-1.0289073219540792,,
5.0,1990-01-01,Limburg,1.3249171566376374,,,0.0,0.0075417125728072,,
6.0,1990-01-01,Noord-Brabant,1.7640909393523057,,,0.0,1.359605384092034,,
7.0,1990-01-01,Noord-Holland,2.642438504781642,,,0.0,1.0743410235384998,,
8.0,1990-01-01,Overijssel,1.8738843850309728,,,0.0,0.1062752550472887,,
9.0,1990-01-01,Utrecht,2.5326450591029754,,,0.0,0.2266786376344053,,
10.0,1990-01-01,Zeeland,1.4347106023163043,,,0.0,-1.5053621895354865,,
11.0,1990-01-01,Zuid-Holland,2.8620253961389763,,,0.0,1.487081592756217,,
12.0,1990-02-01,Drenthe,0.666156482565635,,,0.0,-1.0521706297180344,,
13.0,1990-02-01,Flevoland,0.9955368196016362,,,0.0,-0.9524340992609523,,
14.0,1990-02-01,Friesland,0.2269826998509666,,,0.0,-0.6815982209571082,,
15.0,1990-02-01,Gelderland,2.313058167745641,,,0.0,0.9589488557843924,,
16.0,1990-02-01,Groningen,0.5563630368869679,,,0.0,-1.0289073219540792,,
17.0,1990-02-01,Limburg,0.775949928244302,,,0.0,0.0075417125728072,,
18.0,1990-02-01,Noord-Brabant,1.4347106023163043,,,0.0,1.359605384092034,,
19.0,1990-02-01,Noord-Holland,2.4228516134243083,,,0.0,1.0743410235384998,,
20.0,1990-02-01,Overijssel,1.2151237109589703,,,0.0,0.1062752550472887,,
21.0,1990-02-01,Utrecht,2.642438504781642,,,0.0,0.2266786376344053,,
22.0,1990-02-01,Zeeland,0.4465695912083007,,,0.0,-1.5053621895354865,,
23.0,1990-02-01,Zuid-Holland,2.5326450591029754,,,0.0,1.487081592756217,,
24.0,1990-03-01,Drenthe,0.3367761455296337,,,0.0,-1.0521706297180344,,
25.0,1990-03-01,Flevoland,0.775949928244302,,,0.0,-0.9524340992609523,,
26.0,1990-03-01,Friesland,-0.1023976371850346,,,0.0,-0.6815982209571082,,
27.0,1990-03-01,Gelderland,2.642438504781642,,,0.0,0.9589488557843924,,
28.0,1990-03-01,Groningen,0.3367761455296337,,,0.0,-1.0289073219540792,,
29.0,1990-03-01,Limburg,1.8738843850309728,,,0.0,0.0075417125728072,,
30.0,1990-03-01,Noord-Brabant,2.752231950460309,,,0.0,1.359605384092034,,
31.0,1990-03-01,Noord-Holland,2.5326450591029754,,,0.0,1.0743410235384998,,
32.0,1990-03-01,Overijssel,0.775949928244302,,,0.0,0.1062752550472887,,
33.0,1990-03-01,Utrecht,3.1914057331749777,,,0.0,0.2266786376344053,,
34.0,1990-03-01,Zeeland,1.2151237109589703,,,0.0,-1.5053621895354865,,
35.0,1990-03-01,Zuid-Holland,3.410992624532312,,,0.0,1.487081592756217,,
36.0,1990-04-01,Drenthe,-0.3219845285423687,,,0.0,-1.0521706297180344,,
37.0,1990-04-01,Flevoland,-0.1023976371850346,,,0.0,-0.9524340992609523,,
38.0,1990-04-01,Friesland,-0.65136486557837,,,0.0,-0.6815982209571082,,
39.0,1990-04-01,Gelderland,2.313058167745641,,,0.0,0.9589488557843924,,
40.0,1990-04-01,Groningen,0.5563630368869679,,,0.0,-1.0289073219540792,,
41.0,1990-04-01,Limburg,1.3249171566376374,,,0.0,0.0075417125728072,,
42.0,1990-04-01,Noord-Brabant,2.752231950460309,,,0.0,1.359605384092034,,
43.0,1990-04-01,Noord-Holland,2.203264722066974,,,0.0,1.0743410235384998,,
44.0,1990-04-01,Overijssel,-0.2121910828637017,,,0.0,0.1062752550472887,,
45.0,1990-04-01,Utrecht,2.8620253961389763,,,0.0,0.2266786376344053,,
46.0,1990-04-01,Zeeland,0.8857433739229691,,,0.0,-1.5053621895354865,,
47.0,1990-04-01,Zuid-Holland,3.0816122874963106,,,0.0,1.487081592756217,,
48.0,1990-05-01,Drenthe,-0.5415714198997029,,,0.0,-1.0521706297180344,,
49.0,1990-05-01,Flevoland,-0.4317779742210358,,,0.0,-0.9524340992609523,,
50.0,1990-05-01,Friesland,-0.8709517569357041,,,0.0,-0.6815982209571082,,
51.0,1990-05-01,Gelderland,2.642438504781642,,,0.0,0.9589488557843924,,
52.0,1990-05-01,Groningen,-0.4317779742210358,,,0.0,-1.0289073219540792,,
53.0,1990-05-01,Limburg,1.3249171566376374,,,0.0,0.0075417125728072,,
54.0,1990-05-01,Noord-Brabant,3.630579515889646,,,0.0,1.359605384092034,,
55.0,1990-05-01,Noord-Holland,2.093471276388307,,,0.0,1.0743410235384998,,
56.0,1990-05-01,Overijssel,0.0073958084936324,,,0.0,0.1062752550472887,,
57.0,1990-05-01,Utrecht,3.630579515889646,,,0.0,0.2266786376344053,,
