Year_Month,Province,Standardized_NO2,Standardized_PM25,Standardized_PM10
1990-01,Drenthe,1.2930522270099396,,
1990-01,Flevoland,1.578415432200161,,
1990-01,Friesland,1.215530291366284,,
1990-01,Gelderland,1.9324482133366123,,
1990-01,Groningen,1.2311446702377873,,
1990-01,Limburg,1.2582513851743906,,
1990-01,Noord-Brabant,1.5746566980177092,,
1990-01,Noord-Holland,2.028774854940252,,
1990-01,Overijssel,1.6312083871271383,,
1990-01,Utrecht,2.0778574655176048,,
1990-01,Zeeland,1.3359640736087877,,
1990-01,Zuid-Holland,2.114425692136717,,
1990-02,Drenthe,0.789178836583287,,
1990-02,Flevoland,1.053490685593972,,
1990-02,Friesland,0.5186831063870966,,
1990-02,Gelderland,1.8805067292135609,,
1990-02,Groningen,0.752068535154318,,
1990-02,Limburg,0.9324593908014184,,
1990-02,Noord-Brabant,1.3730624791234387,,
1990-02,Noord-Holland,1.925197048969423,,
1990-02,Overijssel,1.2031857144080365,,
1990-02,Utrecht,2.0787253604747895,,
1990-02,Zeeland,0.6652192493451775,,
1990-02,Zuid-Holland,1.989739896174769,,
1990-03,Drenthe,0.5145101495241298,,
1990-03,Flevoland,0.895453877380434,,
1990-03,Friesland,0.11517637616465398,,
1990-03,Gelderland,2.012620655121445,,
1990-03,Groningen,0.5777124959039509,,
1990-03,Limburg,1.6003952477105619,,
1990-03,Noord-Brabant,2.075968479790022,,
1990-03,Noord-Holland,1.9530260396976127,,
1990-03,Overijssel,0.9110266042605538,,
1990-03,Utrecht,2.274361274876918,,
1990-03,Zeeland,1.2474760573075363,,
1990-03,Zuid-Holland,2.342217415475924,,
1990-04,Drenthe,-0.11304608717021215,,
1990-04,Flevoland,0.17160055055937293,,
1990-04,Friesland,-0.5377511680952235,,
1990-04,Gelderland,1.851304217717418,,
1990-04,Groningen,0.7355238744680466,,
1990-04,Limburg,1.3149644412831152,,
1990-04,Noord-Brabant,2.094395407192803,,
1990-04,Noord-Holland,1.790279858546224,,
1990-04,Overijssel,-0.00057542579071481,,
1990-04,Utrecht,2.111802670268182,,
1990-04,Zeeland,0.9914109039796722,,
1990-04,Zuid-Holland,2.197979277269694,,
1990-05,Drenthe,-0.42805163795081086,,
1990-05,Flevoland,-0.2831498200234554,,
1990-05,Friesland,-0.9161221110988452,,
1990-05,Gelderland,2.0088832249128834,,
1990-05,Groningen,-0.2500585947227288,,
1990-05,Limburg,1.3254386566319178,,
1990-05,Noord-Brabant,2.464920760686277,,
1990-05,Noord-Holland,1.7643338437122023,,
1990-05,Overijssel,0.1734928367705831,,
1990-05,Utrecht,2.447260895175723,,
