Year_Month,province,Average NO2 Value
1990-01,Drenthe,29
1990-01,Flevoland,33
1990-01,Friesland,28
1990-01,Gelderland,39
1990-01,Groningen,28
1990-01,Limburg,29
1990-01,Noord-Brabant,33
1990-01,Noord-Holland,41
1990-01,Overijssel,34
1990-01,Utrecht,40
1990-01,Zeeland,30
1990-01,Zuid-Holland,43
1990-02,Drenthe,23
1990-02,Flevoland,26
1990-02,Friesland,19
1990-02,Gelderland,38
1990-02,Groningen,22
1990-02,Limburg,24
1990-02,Noord-Brabant,30
1990-02,Noord-Holland,39
1990-02,Overijssel,28
1990-02,Utrecht,41
1990-02,Zeeland,21
1990-02,Zuid-Holland,40
1990-03,Drenthe,20
1990-03,Flevoland,24
1990-03,Friesland,16
1990-03,Gelderland,41
1990-03,Groningen,20
1990-03,Limburg,34
1990-03,Noord-Brabant,42
1990-03,Noord-Holland,40
1990-03,Overijssel,24
1990-03,Utrecht,46
1990-03,Zeeland,28
1990-03,Zuid-Holland,48
1990-04,Drenthe,14
1990-04,Flevoland,16
1990-04,Friesland,11
1990-04,Gelderland,38
1990-04,Groningen,22
1990-04,Limburg,29
1990-04,Noord-Brabant,42
1990-04,Noord-Holland,37
1990-04,Overijssel,15
1990-04,Utrecht,43
1990-04,Zeeland,25
1990-04,Zuid-Holland,45
1990-05,Drenthe,12
1990-05,Flevoland,13
1990-05,Friesland,9
1990-05,Gelderland,41
1990-05,Groningen,13
1990-05,Limburg,29
1990-05,Noord-Brabant,50
1990-05,Noord-Holland,36
1990-05,Overijssel,17
1990-05,Utrecht,50
1990-05,Zeeland,23
1990-05,Zuid-Holland,48
1990-06,Drenthe,12
1990-06,Flevoland,13
1990-06,Friesland,10
1990-06,Gelderland,37
1990-06,Groningen,12
1990-06,Limburg,24
1990-06,Noord-Brabant,40
1990-06,Noord-Holland,33
1990-06,Overijssel,19
1990-06,Utrecht,49
1990-06,Zeeland,14
1990-06,Zuid-Holland,41
1990-07,Drenthe,9
1990-07,Flevoland,10
1990-07,Friesland,7
1990-07,Gelderland,31
1990-07,Groningen,11
1990-07,Limburg,24
1990-07,Noord-Brabant,36
1990-07,Noord-Holland,28
1990-07,Overijssel,14
1990-07,Utrecht,41
1990-07,Zeeland,16
1990-07,Zuid-Holland,36
1990-08,Drenthe,15
1990-08,Flevoland,16
1990-08,Friesland,13
1990-08,Gelderland,41
1990-08,Groningen,17
1990-08,Limburg,36
1990-08,Noord-Brabant,50
1990-08,Noord-Holland,39
1990-08,Overijssel,23
1990-08,Utrecht,54
1990-08,Zeeland,24
1990-08,Zuid-Holland,49
1990-09,Drenthe,15
1990-09,Flevoland,20
1990-09,Friesland,10
1990-09,Gelderland,38
1990-09,Groningen,14
1990-09,Limburg,34
1990-09,Noord-Brabant,41
1990-09,Noord-Holland,34
1990-09,Overijssel,24
1990-09,Utrecht,47
1990-09,Zeeland,18
1990-09,Zuid-Holland,40
1990-10,Drenthe,28
1990-10,Flevoland,32
1990-10,Friesland,28
1990-10,Gelderland,42
1990-10,Groningen,30
1990-10,Limburg,35
1990-10,Noord-Brabant,42
1990-10,Noord-Holland,45
1990-10,Overijssel,36
1990-10,Utrecht,52
1990-10,Zeeland,35
1990-10,Zuid-Holland,49
1990-11,Drenthe,25
1990-11,Flevoland,31
1990-11,Friesland,22
1990-11,Gelderland,42
1990-11,Groningen,27
1990-11,Limburg,37
1990-11,Noord-Brabant,40
1990-11,Noord-Holland,45
1990-11,Overijssel,33
1990-11,Utrecht,54
1990-11,Zeeland,35
1990-11,Zuid-Holland,50
1990-12,Drenthe,24
1990-12,Flevoland,27
1990-12,Friesland,23
1990-12,Gelderland,37
1990-12,Groningen,27
1990-12,Limburg,36
1990-12,Noord-Brabant,38
1990-12,Noord-Holland,38
1990-12,Overijssel,28
1990-12,Utrecht,47
1990-12,Zeeland,32
1990-12,Zuid-Holland,42
2016-01,Drenthe,17
2016-01,Flevoland,21
2016-01,Friesland,16
2016-01,Gelderland,27
2016-01,Groningen,26
2016-01,Limburg,23
2016-01,Noord-Brabant,27
2016-01,Noord-Holland,33
2016-01,Overijssel,20
2016-01,Utrecht,31
2016-01,Zeeland,18
2016-01,Zuid-Holland,36
2016-02,Drenthe,11
2016-02,Flevoland,16
2016-02,Friesland,9
2016-02,Gelderland,24
2016-02,Groningen,20
2016-02,Limburg,22
2016-02,Noord-Brabant,25
2016-02,Noord-Holland,30
2016-02,Overijssel,13
2016-02,Utrecht,28
2016-02,Zeeland,16
2016-02,Zuid-Holland,34
2016-03,Drenthe,9
2016-03,Flevoland,12
2016-03,Friesland,9
2016-03,Gelderland,25
2016-03,Groningen,19
2016-03,Limburg,23
2016-03,Noord-Brabant,23
2016-03,Noord-Holland,29
2016-03,Overijssel,10
2016-03,Utrecht,26
2016-03,Zeeland,16
2016-03,Zuid-Holland,31
2016-04,Drenthe,8
2016-04,Flevoland,11
2016-04,Friesland,6
2016-04,Gelderland,20
2016-04,Groningen,17
2016-04,Limburg,18
2016-04,Noord-Brabant,19
2016-04,Noord-Holland,26
2016-04,Overijssel,9
2016-04,Utrecht,23
2016-04,Zeeland,13
2016-04,Zuid-Holland,28
2016-05,Drenthe,8
2016-05,Flevoland,10
2016-05,Friesland,7
2016-05,Gelderland,20
2016-05,Groningen,15
2016-05,Limburg,17
2016-05,Noord-Brabant,18
2016-05,Noord-Holland,23
2016-05,Overijssel,8
2016-05,Utrecht,19
2016-05,Zeeland,14
2016-05,Zuid-Holland,25
2016-06,Drenthe,7
2016-06,Flevoland,7
2016-06,Friesland,6
2016-06,Gelderland,17
2016-06,Groningen,15
2016-06,Limburg,15
2016-06,Noord-Brabant,17
2016-06,Noord-Holland,21
2016-06,Overijssel,6
2016-06,Utrecht,18
2016-06,Zeeland,11
2016-06,Zuid-Holland,24
2016-07,Drenthe,5
